api,fetch_time,station,head_sign,projected_arrival,last_updated,door_close,scheduled_departure
MRAZZA,2023-04-30T14:23:06.675276-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:00-04:00,2023-04-30T14:23:00-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:23:06.931474-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:38:59.762959-04:00,2023-04-30T14:22:00.762959-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:23:26.299817-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:00-04:00,2023-04-30T14:23:20-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:23:26.570811-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:38:59.801839-04:00,2023-04-30T14:23:15.801839-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:23:47.092160-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:00-04:00,2023-04-30T14:23:45-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:23:47.372160-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:38:59.781713-04:00,2023-04-30T14:23:00.781713-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:24:06.673230-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:00-04:00,2023-04-30T14:24:00-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:24:06.873958-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:38:59.781713-04:00,2023-04-30T14:23:00.781713-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:24:26.377994-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:06-04:00,2023-04-30T14:24:20-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:24:26.577705-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:38:59.796819-04:00,2023-04-30T14:23:40.796819-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:24:46.731242-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:06-04:00,2023-04-30T14:24:40-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:24:46.979631-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:02.001544-04:00,2023-04-30T14:24:06.001544-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:25:09.587974-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:06-04:00,2023-04-30T14:25:05-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:25:09.791493-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:05.912728-04:00,2023-04-30T14:24:30.912728-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:25:26.689822-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:06-04:00,2023-04-30T14:25:20-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:25:26.946829-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:05.829702-04:00,2023-04-30T14:24:55.829702-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:25:46.573635-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:06-04:00,2023-04-30T14:25:40-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:25:46.830298-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:05.829702-04:00,2023-04-30T14:24:55.829702-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
