api,fetch_time,station,head_sign,projected_arrival,last_updated,door_close,scheduled_departure
OFFICIAL,2023-04-02T14:22:48.161524-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:38:20.298152-04:00,2023-04-02T14:22:08.298152-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:23:08.158760-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:38:19-04:00,2023-04-02T14:23:05-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:23:08.168083-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:38:20.298152-04:00,2023-04-02T14:22:08.298152-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:23:28.175253-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:38:19-04:00,2023-04-02T14:23:25-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:23:28.184891-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:38:20.232580-04:00,2023-04-02T14:23:08.232580-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:23:48.192115-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:38:19-04:00,2023-04-02T14:23:45-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:23:48.201733-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:38:20.324762-04:00,2023-04-02T14:22:38.324762-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:24:08.200218-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:38:24-04:00,2023-04-02T14:24:05-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:24:08.209582-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:38:20.324762-04:00,2023-04-02T14:22:38.324762-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
MRAZZA,2023-04-02T14:24:28.295257-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:38:44-04:00,2023-04-02T14:24:25-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
OFFICIAL,2023-04-02T14:24:28.304613-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-02T14:38:20.106713-04:00,2023-04-02T14:23:18.106713-04:00,2023-04-02T14:44:06-04:00,2023-04-02T14:37:00-04:00
